  years of   study in 2017 E.C,Academic program (Bsc),Age,Could you briefly share In what ways have these experiences shaped your academic choices and career development? ,Sum of Cumulative GPA,Do you want to participate in the research interview?,Fields,Gender,Have you participated in any of the following exposure experiences? (Select all that apply),Sum of How have Career fairs exposure influenced your career choices? ,Sum of How have Family influenced your career choices? ,Sum of How have Friends influenced your career choices? ,Sum of How have Internships exposure influenced your career choices?,Sum of How have Job shadowing exposure influenced your career choices?,Sum of How have Mentorship programs exposure influenced your career choices?,Sum of How have University coursework exposure influenced your career choices? ,Sum of How often do you use the career guidance services offered by the university?,Sum of How satisfied are you with the career guidance services provided by the university?,I picked my academic program primarily because of my grades,Language,Study_Category,Sum of To what extent do you feel that your exposure experiences have provided a clear sense of direction for your career?,What additional types of exposure experiences do you think the university should offer to better support students' career development?,What additional types of exposure experiences do you think the university should offer to better support students' career development?.1,What improvements would you suggest for the university’s career guidance services?,Which University are you enrolled in?
3,Construction technology and managment,21-23,No response,3.40,Yes,Other,Male,"Mentorship programs, University coursework related to career development",4,3,1,4,2,4,1,5,2,Yes,Amharic,Lower,3,No response,No response,nothing else,Dire Dawa University
3,CoTM,18-20,I choose my career solely based on my grade i can even say they choose my career,3.20,No,Other,Male,"Job shadowing, Career fairs, Internships",1,1,1,1,1,1,3,3,2,Yes,English,Lower,2,Practical experience is the best to learn,Practical experience is the best to learn,First there should be. If there it should be specific to each department or even in campus,AAU
3,CS,18-20,"All of these elements shape my decisions and growth although the degrees of each are different (except job shadowing and career fairs cause I haven't taken those).They help clarify goals, build confidence and develop a professional identity, ultimately leading to informed academics and career choices.",3.30,Yes,STEM,Male,Internships,1,2,2,5,1,3,4,1,1,No,English,Lower,5,No response,No response,There is no career guidance in my university. I wish they will establish and we can involve on that,Jimma University
3,CS,18-20,"I come from a small city called Assella and had no prior exposure to PCs or tech-related things before I began studying computer science. After starting my studies, I earned a scholarship from Evangadi, where I learned full-stack web development and gained invaluable skills. In our Evangadi course, we first learned the material, and if someone in the group didn’t understand, we would discuss it until everyone did. This made me realize the importance of mentorship. Seeing how my friends’ lives changed completely after gaining internships and becoming employed, I believe internships are a vital opportunity not only to learn but also to showcase our skills.",3.38,No,STEM,Female,"Mentorship programs, University coursework related to career development, Searching professionals through social networks",5,1,4,5,5,5,2,2,2,No,English,Lower,3,"To better support students' career development, universities could offer a range of additional exposure experiences that focus on bridging the gap between academic learning and industry expectations. Here are some ideas:Practical Skill Training: Offer intensive workshops or bootcamps on specific in-demand skills, such as cloud computing, data science, cybersecurity, and AI, where students can get hands-on experience.
Project-Based Learning: Implement short-term, project-based courses where students work on real-world problems provided by industry partners.",No response,"Improving a university's career guidance services, particularly for tech students, can greatly enhance their readiness for the job market. One key issue is that what we learn in university and what the job market demands from us are often different. If I hadn’t received the Evangadi scholarship, my life might have become more complicated and difficult because the university curriculum focuses primarily on grades. However, what we really need are practical skills. This is an area that must be improved.",AAU
3,CS,18-20,"I have been greatly influenced in my choices by family and friends. Their experiences were essentially what I based my decisions on. As for the career fairs, they helped me gain some insights into the field.",3.60,No,STEM,Male,"Mentorship programs, Career fairs, Searching professionals through social networks",4,5,5,1,1,3,1,3,2,No,English,Lower,4,No response,No response,better for it to be more practical,AAU
3,CS,18-20,I have noted all their impact in the form,3.50,No,STEM,Female,InternshipsMentorship programs,3,4,2,4,5,3,4,3,2,No,English,Lower,4,No response,No response,Include many programs for us to engage and work,AAU
3,CS,18-20,Internship I am currently working in is helping me see how the industry is like practically in addition to what I am learning in college.,3.90,Yes,STEM,Male,Internships,1,1,2,3,1,1,1,1,1,No,English,Lower,1,"Career counseling by trained professionals, and opportunities to meet professionals from industries we would be joining when we graduate to share experiences and create connections","Career counseling by trained professionals, and opportunities to meet professionals from industries we would be joining when we graduate to share experiences and create connections",There is currently no kind of career guidance service so establishing one would be nice for a start.,ACT American College of Technology
3,CS,18-20,"My experiences have profoundly shaped my academic choices and career development. During high school, I volunteered at a local community center, where I organized educational workshops for children. This experience ignited my passion for education and community service, leading me to pursue a degree in Education. 

Additionally, an internship at an organization allowed me to see the impact of educational programs on underprivileged communities. This solidified my desire to work in educational policy, as I realized the importance of access to quality education. 

Through these experiences, I also developed strong organizational and communication skills, which are essential for my future career in education reform. Overall, my journey has been driven by a commitment to making a difference in the lives of others through education.",3.70,Yes,STEM,Female,"InternshipsMentorship programs, Searching professionals through social networks",1,3,3,3,1,4,3,2,2,No,English,Lower,4,"1. Internship Programs: Partnering with local businesses and organizations to provide structured internships that offer hands-on experience in various fields.

2. Job Shadowing Opportunities: Allowing students to shadow professionals in their desired industries for a day or week to gain insights into daily responsibilities and workplace culture.

3. Industry-Specific Workshops: Hosting workshops led by industry experts focusing on skills relevant to specific fields, such as coding boot camps, marketing strategies, or financial modeling.",No response,"I believe there are several ways to enhance the university's career guidance services. Firstly, increasing personalized counseling sessions would allow students to receive tailored advice based on their unique skills and career aspirations. 

Additionally, hosting regular workshops on practical skills like resume writing and interview techniques could better prepare students for the job market. Inviting industry professionals as guest speakers would provide valuable insights into various fields.

Creating a strong alumni network for mentorship opportunities would also be beneficial. This could help current students connect with graduates who can offer guidance and potentially open doors to job opportunities.

Furthermore, expanding internship and job placement programs through partnerships with local businesses would give students more hands-on experience. An online resource hub could centralize job listings, career assessments, and educational webinars, making it easier for students to access information.

Lastly, implementing a feedback mechanism would allow the career services team to continuously improve based on student experiences and needs. Overall, these enhancements could significantly support students in their career development.",AAU
3,CS,18-20,"Since i didn't have did any internships or any jobshadowing, carrer fairs I marked them as 1. But I have attended so many mentorship program at ALX. They are quite helpful although some are repititive and boring. Since I did know what i will be pursuing from highschool. No responsene of them had any significant contribution to my career choices.",3.80,No,STEM,Male,Mentorship programs,1,1,2,1,1,3,1,1,1,Yes,English,Lower,4,No response,No response,"To do a bit of marketing, since I dont see them often. To make appearance in every room and show what they have.",AAU
3,CS,18-20,The big thing that influence is my passion. But the things that written above has little issues to choose my academic career,3.27,Yes,STEM,Male,Internships,3,2,1,5,4,4,3,1,1,No,English,Lower,5,No response,No response,I didn't even know my university provide these services,Jimma University
3,CS,18-20,They make me ready to upcoming job,3.70,Yes,STEM,Male,Mentorship programs,3,3,2,5,3,3,3,3,3,Yes,English,Lower,4,Peer to peer discusion,Peer to peer discusion,They have to teach not the theory but also the practice,AAU
3,CS,21-23,"Academic and career development are shaped by diverse experiences, such as internships, job shadowing, mentorship programs, career fairs, university coursework, and personal relationships. These opportunities provide practical knowledge, refine interests, and influence decisions about future paths.

Internships allow individuals to apply academic knowledge in real-world settings, helping them explore industries and roles while identifying their strengths. Job shadowing offers insight into daily professional life, aiding those unsure about career options. Similarly, mentorship programs provide long-term guidance, helping mentees navigate challenges and access new opportunities.

Career fairs expose individuals to various industries and roles while offering networking opportunities that inform career planning. Meanwhile, university coursework develops foundational skills and highlights areas for specialization. Personal relationships, including family and friends, also shape choices by providing encouragement, advice, and new perspectives.

Together, these experiences equip individuals with the tools to make informed academic and career decisions, fostering growth and confidence in pursuing their aspirations.",3.01,Yes,STEM,Male,"InternshipsMentorship programs, Career fairs, University coursework related to career development, Searching professionals through social networks",4,1,3,4,3,4,4,2,2,No,English,Lower,3,close mentorship between mentors and mentees plus rewarding like minded communities,No response,"they should be based on the real world , they are mostly focused on educational stuff",AAU
3,CS,21-23,Based on my interest and experience,3.50,Yes,STEM,Male,"InternshipsJob shadowing, University coursework related to career development, Searching professionals through social networks",3,3,3,4,3,2,4,3,2,No,English,Lower,4,No response,No response,They should focus mainly on how to make money and become independent financially,AAU
3,CS,21-23,developing skills,3.40,No,STEM,Male,University coursework related to career development,1,4,3,1,1,2,3,4,3,Yes,English,Lower,4,pratice,No response,university must be practical,Hawassa University
3,CS,21-23,"My academic choices have been shaped by mentorship programs on social media and tech podcasts. Additionally, my childhood exposure to computers sparked my interest in technology fields.",3.50,Yes,STEM,Male,"Mentorship programs, Career fairs, University coursework related to career development, Searching professionals through social networks",3,1,2,4,4,5,3,3,1,No,English,Lower,3,creating student meet up programs,No response,there should be a practical guidance services not only theoretical. and the peoples who gave guidance services must have experience on the service they're guiding.,Jimma University
3,CS,21-23,not at all! because here in arsi university there is no good environment that to make you to do this,3.50,Yes,STEM,Male,InternshipsTechno Club activity,3,4,4,5,2,5,1,1,1,No,English,Lower,3,Extracurriculum are very essential for career development.,No response,"We, the students of Arsi University, write to express our sincere concerns regarding
the accelerated academic schedule that has significantly impacted the quality of our
education and preparation. 

While we deeply appreciate your efforts to uphold
educational standards nationwide, we feel that immediate intervention is required to
address challenges specific to our university. 
Currently, many of us so-called graduating students are being compelled to complete
our studies by the end of this year under an excessively compressed academic
timeline. 

This has not allowed us the time or opportunity to gain adequate knowledge
and preparation in our respective fields. 

The rushed academic schedule hinders
meaningful engagement with coursework, projects, and examinations, leaving us
feeling inadequately prepared for both professional and academic pursuits.
 We kindly propose the following solutions to mitigate these challenges:
1. Adopt a Standard Academic Calendar: Encourage Arsi University to
transition to the Ministry of Education’s standard two-semester system to
ensure sufficient time for learning, skill-building, and project completion. 
2. Quality Assurance Mechanisms: Review and enhance the current curriculum
and teaching methodologies to ensure students graduate with strong
foundational knowledge and skills.
3. Reevaluation of Forced Graduation Policies: Allow students more time to
complete their studies effectively rather than enforcing accelerated timelines, which compromise educational outcomes. 
4. Student and Faculty Collaboration Platforms: Introduce systems for
gathering and addressing feedback to improve decision-making processes. 

We strongly believe that under your guidance, these measures can restore fairness and
uphold the integrity of education at Arsi University. These steps will also ensure that
graduates from our institution are well-equipped to contribute meaningfully to
Ethiopia’s development.

 Thank you for your attention to this urgent matter. We remain hopeful for immediate
action to address these concerns and improve the academic experience for current and
future students.

Yours respectfully, On behalf of 3rd year students of Arsi University.",Arsi University
3,CS,21-23,Participating in different online platforms with so many mentors helped me to know more about the work environment and encourage me to learn which areas of my field has more job opportunities and which skills are required in the market. So i can say that it influenced me positively.,3.80,No,STEM,Male,Searching professionals through social networks,1,1,2,1,1,1,1,1,1,No,English,Lower,1,No response,No response,I don't heard about any,Werabe University
3,CS,21-23,Well I can say that they really had a minimum impact not void at all but my decision to my carrier was almost decided during my highschool time and those activities in the campus only just widened my views,3.76,No,STEM,Male,"Career fairs, University coursework related to career development",3,2,2,2,1,4,4,3,2,No,English,Lower,2,Like internal workshops before the internships,No response,I always whish there was an independent department that handle these case. I think that would make it very effective.,AAU
3,CSE,18-20,"My experiences as a Computer Science and Engineering student have significantly shaped my academic choices and career development. Working on projects and internships has deepened my interest in software development and web technologies.

Collaborating with peers has improved my teamwork and communication skills, while tackling real-world challenges has motivated me to focus on full-stack development. I am committed to continuous learning and eager to apply my skills in a professional setting.",3.40,Yes,STEM,Male,"InternshipsJob shadowing, Mentorship programs",1,1,1,1,5,1,1,1,1,No,English,Lower,1,No response,No response,"Workshops: Regular sessions on resume writing, interview skills, and job search strategies.

Alumni Networking: Facilitate connections between students and alumni for mentorship.

Internship Programs: Strengthen partnerships with local companies for more placement opportunities.

Individual Counseling: Offer personalized career counseling to help students identify their paths.

Targeted Career Fairs: Organize fairs focused on specific industries for better employer connections.

Online Resources: Develop a platform with job boards and interview preparation tools.


Feedback System: Implement a way for students to provide feedback on career services.

Skill Development: Offer training in emerging technologies and essential soft skills.",ASTU
3,CSE,18-20,They helped me get out of my comfort zone,3.20,No,STEM,Female,University coursework related to career development,4,3,2,4,1,1,4,1,3,No,English,Lower,4,Incubation center,No response,Creating awareness about themselves,AAU
3,CSE,21-23,By improve our knowledge and ready ourselves for our future job.,2.80,Yes,STEM,Female,No,3,4,4,3,3,3,3,1,1,Yes,English,Lower,4,Clubs are help students to get experience from others,Clubs are help students to get experience from others,I don't take any university career guidance services,ASTU
3,CSE,21-23,"I decided to choose my current academic program, when I was a kid. Back then I got the chance to know what programming is and that was the moment i decided to follow this path even in academic area.",2.70,Yes,STEM,Female,"Mentorship programs, Searching professionals through social networks",2,4,1,3,4,5,2,4,3,No,English,Lower,3,In my opinion what they do is eNo responseugh,In my opinion what they do is enough,I'm still second year student so my internship will be on third year which is next year summer on 2017 E.C. In our university a lot of career guidance services  came and gave us a lot of information and skills but the problem is they're not based on our specific academic choices,ASTU
3,Data Science,21-23,"These experiences have played a very important role in shaping both my academic choices and career path. 
Internships helped me gain real-world experience in data science and machine learning, confirming my interest in solving practical problems using technology.
 Job shadowing gave me a deeper understanding of how professionals work in fields like AI, logistics, and transport, which motivated me to develop technical and communication skills. 
Mentorship programs have guided me in choosing relevant courses, building a strong portfolio, and staying focused on long-term goals. 
Career fairs helped me explore opportunities and understand what skills are in demand, while university coursework gave me the foundation I needed to apply those skills in real projects. 
Family and friends have also encouraged me to stay committed, especially when facing challenges. Overall, these experiences made me more confident, focused, and prepared for a career in data science and AI.",3.75,Yes,STEM,Male,"InternshipsMentorship programs, University coursework related to career development, Searching professionals through social networks",3,2,3,5,2,5,4,4,4,Yes,English,Lower,4,"
The university should consider offering more hands-on and industry-connected exposure experiences. This could include:
- Collaborative projects with companies
 - Internships in local industries (e.g., logistics, transport, health, agriculture)
 - Hackathons and case competitions
 - Regular guest lectures by professionals
 - Virtual job shadowing for students who can't travel
 - Career bootcamps focused on emerging techNo responselogies like AI and data science",No response,"The university’s career guidance services could be improved by making them more accessible and personalized.
I recommend offering regular career workshops, mock interviews, and resume-building sessions tailored to each department. It would also help to have more one-on-one mentoring, alumni talks, and direct connections with companies for internships. Creating an online platform or app where students can track opportunities, get guidance, and book sessions would also be beneficial.",BahirDar University
3,Degree,21-23,"Internships and mentorships helped me explore real-world tech roles and build confidence.
Career fairs and coursework shaped my interests in software engineering.
Family and friends motivated me to stay focused on my goals.",3.40,Yes,Other,Female,Mentorship programs,2,1,2,5,4,5,1,1,3,No,English,Lower,2,No response,No response,i don't have much comment,Debre Birhan University
3,ECE,18-20,I chose my field of education due to the interest that I had as well as the diversity it offers among physics and computer,2.90,No,Other,Female,"InternshipsMentorship programs, Searching professionals through social networks",2,3,3,2,1,3,3,2,3,No,English,Lower,2,No response,No response,I would highly recommend more insight for students about what course matter each and every department offers,AASTU
3,ECE,18-20,My academic choice come from friend and social media exposure,2.71,No,Other,Female,University coursework related to career development,1,1,5,1,1,1,4,1,1,No,English,Lower,1,International students exposure.,No response,Everything should be updated with regard of latest version of guidance.,AASTU
3,ECE,21-23,enezi temokrowoch betimihrt mircha lay tilik testno neberachewu yawu sewu akababiwun yimeslal new mibalewum erasu ena letmihirt mircha ena lewedefit sira tilik mina new michawetut,3.50,No,Other,Male,"Mentorship programs, Searching professionals through social networks",4,4,3,3,4,5,2,3,3,No,Amharic,Lower,4,besewu ena begize ye internship opportunit endiyazegagn le gc bicha yeneberewu internship wey ke 2nd or 3rd year bijemr arif new,No response,student ceneterd and in hand skill maschebet endichilu ketemariwoch gar bekirbet endiseru,AASTU
3,Elecrical and computer Engineering,21-23,It showed me that my future career is not only based on the curent department i am in.,3.72,Yes,STEM,Male,Searching professionals through social networks,4,3,3,3,2,4,3,3,3,Yes,English,Lower,3,"
I think they should organize career development programs wih industry experts",No response,Regular career development  events would be helpfull,AAU
3,Electrical and Computer Computer Computer Engineering,21-23,No response,3.30,Yes,STEM,Female,InternshipsJob shadowing,1,5,3,1,1,1,1,1,1,No,English,Lower,1,No response,No response,I don't know,AAU
3,Electrical and Computer Engineering,21-23,Most of them shaped my career choice in positive ways,3.20,No,STEM,Male,"Mentorship programs, Searching professionals through social networks",1,3,4,3,3,4,2,1,1,Yes,English,Lower,3,No response,No response,Needs a lot of improvements.,AAU
3,Electrical Engineering,21-23,Friends and families are the one that shape your uni academic choices mainly here in ethiopia. Personally i didnt even know what i wanted to study when i joined cause there was no way of getting insights of what the departments are.,3.70,No,STEM,Male,Internships,1,5,5,3,1,3,5,3,2,Yes,English,Lower,3,No response,No response,There should be focus and more work done in this service,AAU
3,Electromechanical Engineering,18-20,Those exposures make me love the program that I am studying and made me dedicated.,3.67,Yes,STEM,Female,"Mentorship programs, University coursework related to career development, Searching professionals through social networks",3,1,1,1,5,5,5,5,4,Yes,English,Lower,5,Technical experience before choosing programs students want to study.,No response,Nothing,Hawassa University
3,Electromechanical Engineering,21-23,It's my plan,2.67,Yes,STEM,Male,Internships,4,1,1,4,4,2,4,4,4,No,English,Lower,5,No response,No response,Better materials,Hawassa University
3,Engineering,18-20,in a good way,2.70,Yes,STEM,Male,No,5,4,4,1,1,2,4,4,3,No,English,Lower,4,like a peer to peer meetings with the members of the department,like a peer to peer meetings with the members of the department,i want them to organize this event most frequently,AASTU
3,Engineering,21-23,"Primarily, I am doing my bachelor's degree in Biomedical engineering along Agentic AI course.
Biomedical engineering from Addis Ababa University and Agentic AI from Habib Shaikh (AI expert, from India in the form online learning system).
I planned that interggreating both biomedical engineering concept to currently fastest growing field in Ai to solve real world problem on health related issues.",3.20,Yes,STEM,Male,"Mentorship programs, University coursework related to career development",4,3,3,5,5,5,4,4,3,Yes,English,Lower,4,"I see, University should facilitate better learning system especially using smart Ai tools to enhance their guidance and mentorship program",No response,"For every beginning University's career guidance service is not that much working but using social media, I have gotten good insights and guidance.",AAU
3,Film and television production,21-23,I just do it,3.20,Yes,Arts & Design,Male,InternshipsUniversity coursework related to career development,1,1,1,3,1,1,2,5,1,Yes,Amharic,Lower,3,Just try ever possiblty,Just try ever possiblty,Try your best,Gondar University
3,inforamtion system,21-23,"My experiences have shaped my academic choices and career by deepening my interest in software development, cybersecurity, and mobile computing. Working on projects with React Native, PHP, and Firebase has enhanced my technical skills, while hackathons and team collaborations have improved my problem-solving and communication. These experiences have steered me toward a career in web and app development, as well as system security, where I can create impactful solutions",3.67,Yes,Other,Male,Internships,5,2,4,5,4,5,3,2,2,Yes,English,Lower,5,"    Internships and Co-op Programs: Facilitate more structured internship and co-op opportunities in diverse industries to give students real-world experience and help them build professional networks.

    Hackathons and Competitions: Organize or partner with industry leaders to host hackathons, coding challenges, and inNo responsevation competitions that encourage students to apply their skills in practical settings.

    Guest Lectures and Industry Panels: Invite professionals from various fields to give guest lectures or participate in panel discussions, allowing students to gain insights into current industry trends and career paths.

    Workshops with Industry Experts: Offer hands-on workshops and masterclasses hosted by industry professionals to teach students advanced tools, techNo responselogies, or techniques relevant to their field of study.

    Job Shadowing Programs: Introduce job shadowing programs where students can observe professionals in their workplace, gaining firsthand exposure to daily operations and career expectations.

    Research Opportunities: Provide more opportunities for students to engage in research projects, particularly those aligned with emerging industry needs, to enhance critical thinking and problem-solving skills.

    Global Exposure: Encourage exchange programs or virtual internships with international organizations to broaden students’ perspectives and enhance global career opportunities.",No response,"I would suggest the following improvements for the university's career guidance services:

    Industry Partnerships: Strengthen connections with local and global companies to provide students with internship, mentorship, and job placement opportunities.

    Workshops and Skill Development: Offer regular workshops on resume building, interview preparation, and soft skills, along with technical skill development aligned with industry trends.

    Personalized Guidance: Provide tailored career advice based on individual interests, academic strengths, and career goals to help students make informed decisions.

    Alumni Network: Create a platform for students to connect with alumni for advice, networking, and job opportunities in various fields.

    Job Fairs and Networking Events: Organize more job fairs, industry networking events, and employer panels to expose students to potential career paths and hiring companies.",AAU
3,Information system,21-23,"I have always been interested in technology, but my real passion started when I took part in a school project about computer networking. That experience helped me choose IT-related courses and pushed me to learn more about cybersecurity and system administration. These experiences shaped my academic path, and now I’m working towards a career in the tech field, especially in networking.",3.42,Yes,Other,Male,"InternshipsMentorship programs, University coursework related to career development",3,2,2,5,4,5,4,5,5,Yes,English,Lower,4,No response,No response,"I think the university’s career guidance services are helpful, but there is room for improvement. I would suggest organizing more workshops and training focused on real job skills, especially in tech fields. Also, more one-on-one mentorship or guidance on career paths, internships, and CV writing would really help students prepare better for the job market.",Hawassa University
3,Information Systems,18-20,I have been in a mentorship program when i was in highschool. And how it shaped my academic choice is: it actually makes me aware of my potential and by helping me know what kind of things am good at. Yeah it somehow played a role on my choice.,3.30,Yes,STEM,Female,"Mentorship programs, University coursework related to career development, Searching professionals through social networks",3,2,1,4,4,5,2,2,1,Yes,English,Lower,4,No response,No response,I wouldn't know that because i have never been to one.,AAU
3,Information Systems,18-20,In every way,2.80,Yes,STEM,Female,University coursework related to career development,4,3,2,4,5,4,4,4,4,No,English,Lower,4,No response,No response,To overcome every barriers,Haramaya University
3,Information Systems,18-20,Some family members have helped alot as a mentors . i have attending different events that contributed but most of it goes to doing a lot of research on my own for a long time and the reaserach continues. since majoring in BAIS is too general now i have to choose on what to career to specialize on.,2.90,No,STEM,Female,"Career fairs, University coursework related to career development, Searching professionals through social networks",2,3,1,1,1,3,2,1,1,No,English,Lower,3,graduates coming back to school and sharing their experience and mentoring new coming students.,No response,"To have public events, social media advertisement or announcements since we aren't informed how to get the service.",AAU
3,Information Systems,24-26,No response,3.30,Yes,STEM,Male,Internships,1,1,1,1,1,1,1,5,5,Yes,Amharic,Lower,5,Promotion,Promotion,Technology,Woldia University
3,Information Systems Bsc,18-20,By making me change the thing i want to something else,3.41,No,STEM,Male,University coursework related to career development,2,4,5,1,3,3,4,3,3,Yes,English,Lower,2,No response,No response,Time Managment,Hawassa University
3,Information Technology,21-23,"Whenever someone needs to choose a department of their choice, one has to consider their passion and what would be its consequences. So chose based on my passion so that I take any risk that might follow it without hesitation.",3.70,No,STEM,Male,"Mentorship programs, Searching professionals through social networks",5,2,1,3,3,5,5,4,5,No,English,Lower,4,As I said before they should focus on a project based learning path,No response,Let they provide more of the practice and practical part of a career so that the students feel like they are working in real job,AAU
3,Journalism,24-26,Lesira yaberetatal,3.00,Yes,Social Sciences & Humanities,Male,Searching professionals through social networks,5,5,5,5,5,5,5,5,5,Yes,Amharic,Lower,5,Lesira yemiyanekaka siltena,Lesira yemiyanekaka siltena,melkam sinemigibar,Hawassa University
3,Law,18-20,They shape me to know more about my future career.,3.65,No,Social Sciences & Humanities,Female,African Yourh Forum and other trainings,3,2,4,4,3,3,3,4,3,No,English,Lower,4,"They should better give kNo responsewledge more about the departments (like, job opportunities and the salary) to the university students.",No response,I've no suggestion.,AAU
3,Marketing Management,18-20,I have no experience,3.10,Yes,Business & Economics,Female,No,1,2,1,1,1,1,1,1,1,No,English,Lower,1,No response,No response,I have never been exposed to the experiences listed above and so i don't have any suggestions to make. but I would appreciate it if those kinds of experiences exist and help us shape or future,AAU
3,mechanical engineering,21-23,No responset,3.30,Yes,STEM,Male,Searching professionals through social networks,2,2,3,2,1,1,1,2,2,Yes,English,Lower,3,Not,No response,Idk,AAU
3,MSc,27 and above,"i can say in many ways, because having good experienced in an academy make students perfect in their future life.",3.60,Yes,Other,Male,"InternshipsJob shadowing, Mentorship programs, Career fairs, University coursework related to career development, Searching professionals through social networks",3,5,5,5,5,5,3,5,5,Yes,English,Lower,5,they should make students moral make up as they believe to their better performance.,they should make students moral make up as they believe to their better performance.,they should have to focus on students performance,Wollega University
3,MSc,27 and above,It influences in multiple ways; it affects the way how to choose the career and how to practice and so forth.,3.60,Yes,Other,Male,Searching professionals through social networks,5,1,2,5,5,5,5,2,2,Yes,English,Lower,3, it should be various based on the interest of the students and based on the policy of the country.,"No response, it should be various based on the interest of the students and based on the policy of the country.",it should be started from the grassroot.,AAU
3,MSc,27 and above,to explore doing career choices,3.60,Yes,Other,Male,University coursework related to career development,3,2,4,4,4,4,5,4,4,Yes,English,Lower,2,career,career,well,Haramaya University
3,SE,18-20,At my school we participate in problem solving based projects and we also participate in mentorship programs to gudie us for our future work. This experience guided me to the real career I want to have.,3.90,Yes,STEM,Female,"Mentorship programs, University coursework related to career development, Searching professionals through social networks",5,4,5,4,4,5,5,4,5,No,English,Lower,4,Science fare or real time based projects like a hackaton,Science fare or real time based projects like a hackaton,"Most of the time the guidance is given as lecture or discussion, but it would be more preferable if we take a tour or real time exposure",BahirDar University
3,SE,18-20,By different aspects,3.50,Yes,STEM,Male,Student representative,3,4,3,5,3,4,3,5,5,Yes,English,Lower,4,I have No response additional,No response,I have no any suggestion yet,Arba Minch University
3,SE,18-20,Family and friends are people you spend most of your time with so that has slightly affect my choice and after all my exposure to tech related things help me continue my education on it,3.50,Yes,STEM,Female,"Mentorship programs, University coursework related to career development, Searching professionals through social networks, Community programs like tech events",3,2,2,4,3,5,3,3,3,No,English,Lower,4,Their should be real life project based learning exposure to prepare the students for their future carrier,No response,I would recommend if there are more carrier related guidance in all fields of study to support the student see some carrier and vision with in the education they are taking,AAU
3,SE,18-20,It has been helped to choose the right way,3.90,No,STEM,Male,Mentorship programs,3,1,1,3,1,2,3,1,2,No,Amharic,Lower,2,No response,No response,If it has consistent,AAU
3,SE,18-20,"Seeking guidance from mentors about the content and expectations in my field has greatly influenced my academic choices and career development. Their firsthand experience provided me with valuable insights into the skills, topics, and challenges I might face, helping me make more informed decisions about the courses to prioritize. Their mentorship not only clarified my learning path but also gave me a clearer vision of potential career opportunities, shaping my goals and motivating me to excel in areas that matter most in the industry.",3.60,Yes,STEM,Female,"Mentorship programs, Searching professionals through social networks",1,1,1,1,1,4,3,2,2,No,English,Lower,3,No response,No response,"I would suggest that the career guidance services focus on clearly outlining the pathway within different careers, giving students a better understanding of what to expect at each stage. This could be paired with personalized and detailed explanations tailored to individual career goals, providing more relevant and actionable advice. Additionally, bringing in alumni who can share their experiences and insights would offer students a real-world perspective, helping them navigate the transition from university to the professional world more effectively.",AAU
3,SE,18-20,The primary thing that shaped me to be who I am right now is job shadowing. I used to follow my senior brother who works at chapa and he pretty much taught me how vast is the technology and how out every day life is connected with it. The second thing is mentorship. I used to mentor some groups of female students back when I was second year and it pretty much taught me how to lead.,3.50,Yes,STEM,Female,"InternshipsMentorship programs, Searching professionals through social networks",4,3,3,5,4,5,3,3,2,No,English,Lower,4,Mentorship,Mentorship,To be honest the career guidance services is only given for graduating students in my university and it's just that you choose ur path and you go in it alone.,Jimma University
3,SE,18-20,"They have shaped my choices by showing me what i could find in different departments would be ,by showing me what my primary focus will be when joining third departments and what career option i would have available when choosing this fields",3.90,No,STEM,Female,InternshipsMentorship programs,2,5,5,1,1,4,1,2,1,No,English,Lower,2,"Additional job fairs in Universities, counselling before department choice and maybe gathering a few students every year to describe of freshman students what to expect in each department would be wise","Additional job fairs in Universities, counselling before department choice and maybe gathering a few students every year to describe of freshman students what to expect in each department would be wise","Well for one they should be accessible to everyone, they should have experts working there ready to give professional advice on different career paths and once in a while there should be courses prepared to give general awareness about different career options for undergraduate students",AAU
3,SE,21-23,"before I started the internship program, I was interested in technology then when I saw those people like their activity and hard work, I was inspired  a lot  at that moment I decided to join this field",3.82,Yes,STEM,Female,"InternshipsMentorship programs, University coursework related to career development, Searching professionals through social networks",2,3,2,5,4,5,4,5,4,No,English,Lower,4,No response,No response,Nothing,BahirDar University
3,SE,21-23,"I believe that my experiences with friends and mentors has shaped me into becoming passionate in software engineering. So much that I actually joined the field. In my first year in the course,I was having second thoughts about my career choices. But mentors and seniors persuaded me with the different positives that the field had to offer and taught me how to approach the overwhelming information that a beginner like myself desperately needed.",3.40,Yes,STEM,Male,"Mentorship programs, Career fairs, University coursework related to career development, Searching professionals through social networks",5,1,5,1,1,5,5,1,1,No,English,Lower,5,I believe that my first exposure to the field actually came from the seniors that were very prominent and kNo responsewn online. They had thousands of subscribers and always provided information that was tangible for beginners.,I believe that my first exposure to the field actually came from the seniors that were very prominent and known online. They had thousands of subscribers and always provided information that was tangible for beginners.,"I would suggest a whole revision of the way they approach the guidance of students. In AASTU, it is pretty much non existent most of the time. It will need careful thought and consideration if they want to change it. For starters the advisors should actually start giving advice instead of being absent when the students need them.",AASTU
3,SE,21-23,It has shaped to influence me in a good way,3.80,No,STEM,Male,"InternshipsMentorship programs, Career fairs, University coursework related to career development",4,1,1,3,2,2,4,3,2,Yes,English,Lower,3,No response,No response,To more focus on the potential of the students,AAU
